DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.11.25,1184.90,1193.14,1170.11,1183.71,113243,45655625,24
2016.11.28,1185.72,1197.53,1182.91,1192.84,155438,90363281,24
2016.11.29,1193.28,1194.94,1180.98,1188.15,144061,84553873,24
2016.11.30,1188.19,1194.83,1170.63,1172.62,161280,101833281,24
2016.12.01,1173.73,1176.60,1160.63,1171.29,156452,92738986,24
2016.12.02,1172.43,1178.04,1166.60,1176.87,125907,82798650,24
2016.12.05,1185.41,1187.93,1157.04,1170.03,189670,112043677,24
2016.12.06,1169.85,1175.24,1166.68,1169.44,119117,59939509,24
2016.12.07,1169.38,1180.17,1165.51,1173.50,112045,57547700,24
2016.12.08,1174.18,1178.57,1169.12,1170.35,125955,70650993,24
2016.12.09,1170.07,1171.96,1156.16,1158.35,108360,62005846,24
2016.12.12,1158.46,1165.72,1151.14,1161.83,120294,64586741,24
2016.12.13,1163.08,1164.87,1154.51,1158.06,126057,66680239,22
2016.12.14,1158.47,1165.09,1139.04,1142.94,148724,77818441,24
2016.12.15,1142.16,1144.28,1122.62,1127.96,150441,88548214,23
2016.12.16,1128.33,1141.16,1126.54,1134.65,79262,43054696,23
2016.12.19,1135.79,1142.24,1134.73,1138.47,91901,48926381,24
2016.12.20,1138.46,1139.73,1125.67,1131.73,91025,50936702,24
2016.12.21,1132.56,1137.03,1129.25,1131.59,80731,45967940,22
2016.12.22,1131.34,1134.03,1127.37,1128.20,72957,42285882,21
2016.12.23,1128.30,1135.72,1126.77,1133.39,38821,24749576,20
2016.12.27,1134.39,1150.69,1131.58,1138.86,58095,28826993,0
2016.12.28,1139.11,1144.41,1136.45,1141.55,67686,42080810,22
2016.12.29,1142.37,1159.40,1141.65,1157.83,77501,40241330,21
2016.12.30,1157.87,1163.15,1146.41,1152.12,73722,42717134,23
2017.01.03,1151.67,1164.35,1145.95,1159.09,133304,84991697,22
2017.01.04,1158.75,1167.83,1156.07,1162.64,130369,89907858,23
2017.01.05,1163.10,1184.94,1162.87,1180.30,155316,97283346,24
2017.01.06,1179.64,1182.92,1170.84,1172.59,125240,78902801,23
2017.01.09,1172.87,1186.08,1172.38,1181.01,126697,68573173,15
2017.01.10,1181.87,1190.53,1180.11,1187.41,113962,89294626,21
2017.01.11,1187.53,1198.17,1177.11,1191.44,155211,128739504,23
2017.01.12,1192.25,1206.88,1191.87,1195.38,143183,115800626,22
2017.01.13,1194.36,1201.18,1187.86,1197.33,124284,105234418,22
2017.01.16,1198.74,1208.48,1198.07,1202.50,77904,61716734,22
2017.01.17,1202.95,1218.77,1202.77,1216.56,141768,116929503,19
2017.01.18,1216.48,1217.41,1202.26,1203.59,115042,95781872,19
